year,sim,b,r,g,r_av,s,c,label,rg,slope,curvature,interest_share
1,14,0.9656,0.01,0.017343082,0.01,-0.016567248,0,irresponsible,-0.007343082,0.013479693,0.002354008,0.009656
2,14,0.979079693,0.010600848,0.015499897,0.01012017,-0.01859507,0,irresponsible,-0.004899049,0.015833702,0.008502176,0.009772036
3,14,0.997267403,0.018182293,0.018713564,0.011732594,-0.024897079,0,irresponsible,-0.000531271,0.030484045,0.008699846,0.011487145
4,14,1.040047784,0.018086378,0.013539351,0.013003351,-0.043307776,0,irresponsible,0.004547027,0.033233394,0.000644911,0.012967818
5,14,1.063734192,0.029973494,0.011349611,0.01639738,-0.018495403,0,irresponsible,0.018623883,0.031773866,0.001082621,0.017054058
6,14,1.103595517,0.031757955,0.006208515,0.019469495,-0.025842205,0,irresponsible,0.02554944,0.035398637,0.00654407,0.020710367
7,14,1.134531465,0.026417643,0.009549507,0.020859124,-0.018572767,0,irresponsible,0.016868136,0.044862006,0.000553963,0.023020036
8,14,1.193319528,0.022818384,0.014781341,0.021250976,-0.051554973,0,irresponsible,0.008037043,0.036506562,-0.00630222,0.024109901
9,14,1.20754459,0.019593188,0.013113119,0.020919419,-0.005030225,0,irresponsible,0.00648007,0.032257566,0.006891754,0.024963551
10,14,1.25783466,0.021457547,0.003790057,0.021027044,-0.029554228,0,irresponsible,0.01766749,0.05029007,0.018032504,0.025391094
1,15,0.9656,0.01,0.009571637,0.01,-0.033931099,0,irresponsible,0.000428363,0.037626266,-0.011432512,0.009656
2,15,1.003226266,0.013073327,0.019607253,0.010614665,-0.046142528,0,irresponsible,-0.006533927,0.026193754,-0.00382498,0.010249521
3,15,1.017987509,0.011172049,0.015596679,0.010726142,-0.019572454,0,irresponsible,-0.00442463,0.029976306,0.006175311,0.010760748
4,15,1.063178877,0.018998358,0.024873767,0.012380585,-0.057600607,0,irresponsible,-0.005875408,0.038544376,0.004334312,0.012603281
5,15,1.095076262,0.030488299,0.013021748,0.016002128,-0.028769438,0,irresponsible,0.017466552,0.038644931,0.00519491,0.017013125
6,15,1.140468739,0.028008613,0.01111867,0.018403425,-0.037502837,0,irresponsible,0.016889943,0.048934197,0.003794672,0.020153154
7,15,1.192944656,0.027518714,0.018546288,0.020226483,-0.0505946,0,irresponsible,0.008972426,0.046234276,-0.004391774,0.023067672
8,15,1.23293729,0.029899846,0.013108909,0.022161156,-0.029333533,0,irresponsible,0.016790937,0.040150649,0.009054485,0.026437032
9,15,1.273245955,0.029573656,0.013660564,0.023643656,-0.028166014,0,irresponsible,0.015913092,0.064343245,0.024113588,0.029151145
10,15,1.361623779,0.032641735,0.003230784,0.025443272,-0.060186943,0,irresponsible,0.029410951,0.088377825,0.02403458,0.032395543
